iter	Passed	Remaining
407	5795	1661
408	5808	1647
409	5823	1633
410	5837	1619
411	5848	1604
412	5861	1589
413	5876	1575
414	5888	1560
415	5901	1546
416	5916	1532
417	5932	1518
418	5945	1504
419	5961	1490
420	5975	1476
421	5990	1462
422	6001	1447
423	6016	1433
424	6026	1418
425	6041	1403
426	6049	1388
427	6064	1374
428	6079	1360
429	6090	1345
430	6099	1330
431	6116	1316
432	6145	1305
433	6160	1291
434	6175	1277
435	6188	1263
436	6202	1249
437	6213	1234
438	6235	1221
439	6251	1207
440	6265	1193
441	6276	1178
442	6291	1164
443	6311	1151
444	6326	1137
445	6342	1123
446	6360	1109
447	6372	1095
448	6388	1081
449	6402	1067
450	6419	1053
451	6436	1039
452	6453	1025
453	6464	1011
454	6479	996
455	6495	982
456	6513	969
457	6525	954
458	6540	940
459	6553	926
460	6563	911
461	6576	896
462	6591	882
463	6600	867
464	6615	853
465	6628	839
466	6642	824
467	6655	810
468	6670	796
469	6681	781
470	6699	768
471	6711	753
472	6727	739
473	6741	725
474	6761	711
475	6778	697
476	6793	683
477	6804	669
478	6817	654
479	6830	640
480	6845	626
481	6859	611
482	6874	597
483	6888	583
484	6905	569
485	6920	555
486	6934	541
487	6948	526
488	6960	512
489	6974	498
490	6988	483
491	7000	469
492	7015	455
493	7027	440
494	7042	426
495	7054	412
496	7068	398
497	7081	383
498	7097	369
499	7110	355
500	7125	341
501	7139	327
502	7155	312
503	7168	298
504	7181	284
505	7194	270
506	7215	256
507	7231	242
508	7249	227
509	7263	213
510	7277	199
511	7289	185
512	7306	170
513	7319	156
514	7335	142
515	7348	128
516	7363	113
517	7376	99
518	7391	85
519	7403	71
520	7416	56
521	7428	42
522	7443	28
523	7468	14
524	7486	0
